epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9156,1.00333,0.71348,1.16633,0.9388,0.90754,0.89856,0.94212,0.67675,0.9289,0.57482,1.07705,0.00337232,3.3218e-05,3.3218e-05
2,111.564,1.00246,0.7043,1.16678,0.79833,0.91198,0.9106,0.94525,0.68207,0.91491,0.57787,1.07077,0.00173892,6.64863e-05,6.64863e-05
3,162.918,0.98161,0.70671,1.16071,0.76673,0.90847,0.90977,0.94396,0.68023,0.91628,0.5701,1.07325,0.000105262,9.94948e-05,9.94948e-05
4,206.622,0.968,0.68334,1.16204,0.746,0.90896,0.90887,0.9399,0.6781,0.93103,0.57574,1.07758,9.91232e-05,9.91232e-05,9.91232e-05
5,267.723,0.97779,0.6811,1.14318,0.72906,0.91191,0.89981,0.94234,0.68697,0.90665,0.56993,1.06488,9.84449e-05,9.84449e-05,9.84449e-05
6,332.548,0.99601,0.69398,1.16248,0.71313,0.87999,0.92879,0.93638,0.68093,0.90762,0.57046,1.06648,9.75773e-05,9.75773e-05,9.75773e-05
7,397.54,0.96259,0.67304,1.13675,0.699,0.9273,0.90324,0.94252,0.68558,0.91424,0.5685,1.07094,9.65239e-05,9.65239e-05,9.65239e-05
8,462.841,0.99391,0.6971,1.16922,0.68744,0.91341,0.90977,0.94175,0.68442,0.91025,0.56136,1.07039,9.52889e-05,9.52889e-05,9.52889e-05
9,528.578,0.97473,0.69467,1.14517,0.67695,0.91247,0.90529,0.93941,0.67934,0.91578,0.55976,1.07201,9.38772e-05,9.38772e-05,9.38772e-05
10,594.193,0.97796,0.67792,1.16453,0.66621,0.91555,0.90096,0.94211,0.6817,0.91659,0.57136,1.07124,9.22942e-05,9.22942e-05,9.22942e-05
11,659.968,0.98733,0.69653,1.16056,0.65685,0.91776,0.91172,0.93869,0.6818,0.9141,0.56646,1.07048,9.05463e-05,9.05463e-05,9.05463e-05
12,726.575,0.97737,0.67867,1.14348,0.64868,0.90524,0.90911,0.94002,0.67706,0.91469,0.56973,1.06994,8.86404e-05,8.86404e-05,8.86404e-05
13,792.616,0.97461,0.68745,1.16852,0.64355,0.91916,0.90684,0.94034,0.67733,0.91298,0.56921,1.07161,8.65839e-05,8.65839e-05,8.65839e-05
14,859.015,0.97632,0.69963,1.16152,0.63665,0.89587,0.90977,0.94049,0.67897,0.92166,0.57104,1.07591,8.43851e-05,8.43851e-05,8.43851e-05
15,925.85,0.96012,0.67234,1.13957,0.63035,0.90392,0.9112,0.93793,0.67663,0.91083,0.56688,1.06902,8.20525e-05,8.20525e-05,8.20525e-05
16,992.144,0.97404,0.67511,1.14432,0.62537,0.90651,0.91081,0.93783,0.67693,0.91146,0.5671,1.068,7.95954e-05,7.95954e-05,7.95954e-05
17,1058.71,0.98155,0.70398,1.157,0.61879,0.91371,0.90531,0.93721,0.67609,0.91625,0.57,1.06938,7.70234e-05,7.70234e-05,7.70234e-05
18,1125.13,0.96589,0.68017,1.1547,0.61517,0.9272,0.89873,0.93889,0.6826,0.91821,0.56245,1.0697,7.43468e-05,7.43468e-05,7.43468e-05
19,1191.7,0.96487,0.67635,1.14556,0.60978,0.90399,0.92208,0.94269,0.68554,0.91034,0.56313,1.06528,7.15761e-05,7.15761e-05,7.15761e-05
20,1258.64,0.96032,0.68136,1.14077,0.60853,0.91644,0.90734,0.94248,0.68266,0.91388,0.5619,1.06723,6.87222e-05,6.87222e-05,6.87222e-05
21,1324.93,0.97595,0.69437,1.15383,0.60243,0.93464,0.9053,0.94242,0.68343,0.91039,0.56077,1.06715,6.57963e-05,6.57963e-05,6.57963e-05
22,1391.42,0.96153,0.67372,1.14018,0.60043,0.91094,0.91966,0.93984,0.67726,0.91311,0.57128,1.06757,6.28101e-05,6.28101e-05,6.28101e-05
23,1458.13,0.96706,0.68386,1.14398,0.59389,0.90713,0.91501,0.93961,0.6784,0.91572,0.56975,1.06781,5.97754e-05,5.97754e-05,5.97754e-05
24,1524.93,0.95918,0.67173,1.14457,0.59295,0.91072,0.92526,0.94156,0.68238,0.90792,0.56215,1.06725,5.6704e-05,5.6704e-05,5.6704e-05
25,1591.16,0.97113,0.67172,1.14872,0.59234,0.90666,0.92075,0.94033,0.68217,0.91277,0.56463,1.0678,5.36081e-05,5.36081e-05,5.36081e-05
